language,type,aliases,extensions,filenames
Nginx,data,nginx configuration file,.nginx; .nginxconf; .vhost,nginx.conf
Nickel,programming,,.ncl,
Nim,programming,,.nim; .nim.cfg; .nimble; .nimrod; .nims,nim.cfg
Ninja,data,,.ninja,
Nit,programming,,.nit,
Nix,programming,nixos,.nix,
NL,data,,.nl,
NMODL,programming,,.mod,
Noir,programming,nargo,.nr,
NPM Config,data,npmrc,,.npmrc
NSIS,programming,,.nsi; .nsh,
Nu,programming,nush,.nu,Nukefile
NumPy,programming,,.numpy; .numpyw; .numsc,
Nunjucks,markup,njk,.njk,
Nushell,programming,nu-script; nushell-script,.nu,
NWScript,programming,,.nss,
OASv2-json,data,,.json,
OASv2-yaml,data,,.yaml; .yml,
OASv3-json,data,,.json,
OASv3-yaml,data,,.yaml; .yml,
Oberon,programming,,.ob2,
ObjDump,data,,.objdump,
Object Data Instance Notation,data,,.odin,
Objective-C,programming,obj-c; objc; objectivec,.m; .h,
Objective-C++,programming,obj-c++; objc++; objectivec++,.mm,
Objective-J,programming,obj-j; objectivej; objj,.j; .sj,
ObjectScript,programming,,.cls,
OCaml,programming,,.ml; .eliom; .eliomi; .ml4; .mli; .mll; .mly,
Odin,programming,odinlang; odin-lang,.odin,
Omgrofl,programming,,.omgrofl,
OMNeT++ MSG,programming,omnetpp-msg,.msg,
OMNeT++ NED,programming,omnetpp-ned,.ned,
ooc,programming,,.ooc,
Opa,programming,,.opa,
Opal,programming,,.opal,
Open Policy Agent,programming,,.rego,
OpenAPI Specification v2,data,oasv2,,
OpenAPI Specification v3,data,oasv3,,
OpenCL,programming,,.cl; .opencl,
OpenEdge ABL,programming,progress; openedge; abl,.p; .cls; .w,
OpenQASM,programming,,.qasm,
OpenRC runscript,programming,openrc,,
OpenSCAD,programming,,.scad,
OpenStep Property List,data,,.plist; .glyphs,
OpenType Feature File,data,AFDKO,.fea,
Option List,data,opts; ackrc,,.ackrc; .rspec; .yardopts; ackrc; mocha.opts
Org,prose,,.org,
OverpassQL,programming,,.overpassql,
Ox,programming,,.ox; .oxh; .oxo,
Oxygene,programming,,.oxygene,
Oz,programming,,.oz,
P4,programming,,.p4,
Pact,programming,,.pact,
Pan,programming,,.pan,
Papyrus,programming,,.psc,
Parrot,programming,,.parrot,
Parrot Assembly,programming,pasm,.pasm,
Parrot Internal Representation,programming,pir,.pir,
Pascal,programming,delphi; objectpascal,.pas; .dfm; .dpr; .inc; .lpr; .pascal; .pp,
Pawn,programming,,.pwn; .inc; .sma,
PDDL,programming,,.pddl,
PEG.js,programming,,.pegjs; .peggy,
Pep8,programming,,.pep,
Perl,programming,cperl,.pl; .al; .cgi; .fcgi; .perl; .ph; .plx; .pm; .psgi; .t,.latexmkrc; Makefile.PL; Rexfile; ack; cpanfile; latexmkrc
PHP,programming,inc,.php; .aw; .ctp; .fcgi; .inc; .php3; .php4; .php5; .phps; .phpt,.php; .php_cs; .php_cs.dist; Phakefile
Pic,markup,pikchr,.pic; .chem,
Pickle,data,,.pkl,
PicoLisp,programming,,.l,
PigLatin,programming,,.pig,
Pike,programming,,.pike; .pmod,
Pip Requirements,data,,,dev-requirements.txt; requirements-dev.txt; requirements.lock.txt; requirements.txt
Pkl,programming,,.pkl,
PlantUML,data,,.puml; .iuml; .plantuml,
PLpgSQL,programming,,.pgsql; .sql,
PLSQL,programming,,.pls; .bdy; .ddl; .fnc; .pck; .pkb; .pks; .plb; .plsql; .prc; .spc; .sql; .tpb; .tps; .trg; .vw,
Pod,prose,,.pod,
Pod 6,prose,,.pod; .pod6,
PogoScript,programming,,.pogo,
Polar,programming,,.polar,
Pony,programming,,.pony,
Portugol,programming,,.por,
PostCSS,markup,,.pcss; .postcss,
PostScript,markup,postscr,.ps; .eps; .epsi; .pfa,
POV-Ray SDL,programming,pov-ray; povray,.pov; .inc,
PowerBuilder,programming,,.pbt; .sra; .sru; .srw,
PowerShell,programming,posh; pwsh,.ps1; .psd1; .psm1,
Praat,programming,,.praat,
Prisma,data,,.prisma,
Processing,programming,,.pde,
Procfile,programming,,,Procfile
Proguard,data,,.pro,
Prolog,programming,,.pl; .plt; .pro; .prolog; .yap,
Promela,programming,,.pml,
Propeller Spin,programming,,.spin,
Protocol Buffer,data,proto; protobuf; Protocol Buffers,.proto,
Protocol Buffer Text Format,data,text proto; protobuf text format,.textproto; .pbt; .pbtxt; .txtpb,
Public Key,data,,.asc; .pub,
Pug,markup,,.jade; .pug,
Puppet,programming,,.pp,Modulefile
Pure Data,data,,.pd,
PureBasic,programming,,.pb; .pbi,
PureScript,programming,,.purs,
Pyret,programming,,.arr,
Python,programming,py; py3; python3; rusthon,.py; .cgi; .fcgi; .gyp; .gypi; .lmi; .py3; .pyde; .pyi; .pyp; .pyt; .pyw; .rpy; .spec; .tac; .wsgi; .xpy,.gclient; DEPS; SConscript; SConstruct; wscript
Python console,programming,pycon,,
Python traceback,data,,.pytb,
q,programming,,.q,
Q#,programming,qsharp,.qs,
QMake,programming,,.pro; .pri,
QML,programming,,.qml; .qbs,
Qt Script,programming,,.qs,installscript.qs; toolchain_installscript.qs
Quake,programming,,,m3makefile; m3overrides
QuakeC,programming,,.qc,
QuickBASIC,programming,qb; qbasic; qb64; classic qbasic; classic quickbasic,.bas; .bi,
R,programming,Rscript; splus,.r; .rd; .rsx,.Rprofile; expr-dist
